Target_Genre,Mapped_Anchor_Genre,B2B_Platform_Category,Suno_Style_Prompt,Negative_Prompt,Suggested_Album_Title
musica mexicana,Gothic Americana / Dark Country (고딕 아메리카나),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"musica mexicana, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of musica mexicana - 호텔 라운지
latin pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"latin pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of latin pop - 호텔 라운지
classic rock,Classic Underground Phonk / Memphis Revival (클래식 폰크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"classic rock, 85-100 bpm, filtered jazz samples, heavy distorted 808 sub-bass, 90s memphis rap cassette tapes, subtle cowbell loops, vinyl crackle","no piercing modern high pitched cowbells, no fast high tempo dance rhythms, no crystal clear commercial pop vocals, no uplifting major scale edm synths, no live rock guitar",The Sound of classic rock - 호텔 라운지
filmi,Traditional Spanish Flamenco / Cante Jondo (플라멩코),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"filmi, 100-140 bpm, passionate flamenco guitar rasgueado, rhythmic handclaps palmas, dramatic foot stamping zapateado, acoustic cajon thuds, castanets accents","no digital electronic drum machines, no heavy metal high-gain distortion guitars, no modern trap 808 sub-bass glides, no bright pop vocal harmonies, no autotuned commercial mumble rap",The Sound of filmi - 호텔 라운지
permanent wave,Synthwave / Retrowave (신스웨이브),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"permanent wave, 80-110 bpm, outrun retro analog synths, pulsing bassline, vintage LinnDrum machine, gated reverb snare, neon synthesizer pads, electric guitar solos","no modern trap drum loops, no sliding heavy 808 sub-bass, no autotuned mumble rap, no aggressive metal growls, no organic acoustic country folk banjo",The Sound of permanent wave - 호텔 라운지
trap,Trap Music (트랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"trap, 130-145 bpm, 808 sub-bass boom, rapid hi-hat rolls, crisp electronic snare, dark piano loops, brass hits","no acoustic live drums, no classic rock electric guitars, no slow country folk banjo, no bright major scale pop chords, no vintage tape hiss",The Sound of trap - 호텔 라운지
alternative metal,Industrial Metal / Neue Deutsche Härte (인더스트리얼 메탈),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"alternative metal, 90-110 bpm, chugging machine guitar riffs, heavy electronic sequencers, harsh industrial metallic percussions, pounding 4/4 electronic kicks, vintage hardware...","no cheerful major scale pop melodies, no digital trap triplet hi-hat rolls, no smooth commercial pop vocal harmonies, no loose acoustic blues guitar, no rapid progressive metal sweeping solos",The Sound of alternative metal - 감성 브이로그
k-pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"k-pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of k-pop - 호텔 라운지
r&b,Alternative R&B / PBR&B (얼터너티브 알앤비),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"r&b, 70-90 bpm, atmospheric ambient synths, distorted drum breaks, heavy sub-bass, moody electric guitar, filtered rhodes piano","no fast electronic house dance beats, no aggressive shouting metal growls, no cheerful major scale acoustic piano, no old-school fast boom bap drums, no country folk banjo",The Sound of r&b - 호텔 라운지
corrido,Complextro / 2010s Complex Electro House (컴플렉스트로),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"corrido, 125-130 bpm, rapid chiptune glitches, heavy electro saw bass, sudden dubstep growls, crisp house kick, laser fx, micro vocal chops","no slow lo-fi hiphop loops, no soft organic country folk acoustic guitar, no traditional jazz instruments, no clean unpitched r&b vocal harmonies, no dark ambient minimal drones",The Sound of corrido - 호텔 라운지
canadian pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"canadian pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of canadian pop - 호텔 라운지
norteno,Hypertechno / TikTok Techno (하이퍼테크노),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"norteno, 135-145 bpm, heavy distorted techno kick, high-pitched vocal loops, 1990s rave synths, rolling synth bass, sidechained white noise swells","no slow hiphop trap loops, no live acoustic instruments, no natural unpitched vocals, no slow r&b chord progressions, no heavy rock metal guitar distortion",The Sound of norteno - 호텔 라운지
sierreno,Stoner Rock / Doom Metal (스토너 록 / 둠 메탈),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"sierreno, 60-85 bpm, fuzzy down-tuned guitars, heavy vintage bass, slow massive drum beats, vintage analog amplifiers, psychedelic organ","no rapid double-bass blast beats, no fast neon electronic synths, no crystal clear modern pop autotune, no bright major scale acoustic guitar, no hiphop trap hihats",The Sound of sierreno - 호텔 라운지
album rock,Krautrock / Kosmische Musik (크라우트록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"album rock, 110-125 bpm, hypnotic motorik drum beat, repetitive minimal basslines, sweeping vintage analog synthesizers, minimalist rhythmic guitar scratching, cosmic space dela...","no traditional blues guitar solos, no commercial emotional pop vocal harmonies, no fast modern electronic edm festival drops, no rapid modern trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides",The Sound of album rock - 호텔 라운지
soft rock,Post-Rock / Instrumental Cinematic Rock (포스트 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"soft rock, 70-100 bpm, swelling ambient guitars, weeping cinematic string sections, slow building acoustic drums, heavy crescendo walls, clean melodic bass","no traditional high-speed rock guitar shredded solos, no modern electronic trap drum machine loops, no digital autotune voice shifting, no cheerful radio-friendly pop choruses",The Sound of soft rock - 호텔 라운지
pop dance,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"pop dance, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of pop dance - 호텔 라운지
sad sierreno,Desert Rock / Stoner Rock (데저트 록 / 스토너 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"sad sierreno, 70-95 bpm, down-tuned fuzzy guitars, heavy driving drum rolls, thick muddy bass guitar, psychedelic wah-wah effects, vintage tube amplifiers","no high-definition commercial pop vocals, no modern electronic synth leads, no digital trap drum machine loops, no rapid hi-hat rolls, no polished radio-friendly compression",The Sound of sad sierreno - 호텔 라운지
edm,Bedroom Pop / Lo-Fi Indie (침실 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"edm, 75-95 bpm, lo-fi chorus guitar, vintage casio keyboard, cheap drum machine beats, cozy electric bass","no high-definition commercial master, no powerful operatic vocal belting, no heavy trap 808 bass slides, no complex jazz fusion solos, no massive edm drops",The Sound of edm - 호텔 라운지
hard rock,Garage Rock / Indie Rock Revival (개러지 록),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"hard rock, 120-140 bpm, raw overdriven electric guitars, crunchy rhythmic bass, unpolished acoustic drums, snappy tambourine accents","no modern electronic trap drum loops, no digital autotune voice shifting, no smooth commercial pop harmonies, no progressive metal technical sweeping solos, no massive edm festival drops",The Sound of hard rock - 감성 브이로그
contemporary country,Country Pop (컨트리 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"contemporary country, 75-110 bpm, pedal steel guitar, acoustic guitar strumming, banjo, clean electric guitar, modern acoustic drums, organic bass guitar","no heavy synthetic bass, no autotune mumble effects, no aggressive dubstep drops, no dark industrial industrial techno, no distorted metal guitars",The Sound of contemporary country - 호텔 라운지
mellow gold,Slowcore / Sadcore (슬로우코어 / 새드코어),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"mellow gold, 60-75 bpm, clean minimalist electric guitar, slow steady drum kit, warm muted bass, swelling volume pedal, ambient room tone","no fast electronic dance beats, no heavy metal distortion solos, no polished commercial autotune, no bright uplifting major scale melodies, no rapid trap hihats",The Sound of mellow gold - 호텔 라운지
uk pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"uk pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of uk pop - 호텔 라운지
melodic rap,Melodic Dubstep (멜로딕 덥스텝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"melodic rap, 140 bpm, heavy growl bass, emotional supersaw chords, punchy half-time drums, ambient pads, cinematic strings","no fast 4/4 straight house beats, no organic country acoustic banjo, no lo-fi bedroom cassette hiss, no mumble rap triplet flows, no minimalist underground techno",The Sound of melodic rap - 호텔 라운지
modern bollywood,K-Pop Ballad / Emotional Pop Ballad (국민 발라드),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"modern bollywood, 65-80 bpm, beautiful acoustic piano, lush orchestral strings, warm acoustic guitar, soft dynamic studio drums, clean electric bass, delicate chimes","no modern electronic drum machines, no rapid modern trap triplet hi-hat rolls, no sliding heavy 808 sub-bass, no heavy metal high-gain distortion guitars, no fast electronic house club kicks",The Sound of modern bollywood - 호텔 라운지
alternative rock,Alternative R&B / PBR&B (얼터너티브 알앤비),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"alternative rock, 70-90 bpm, atmospheric ambient synths, distorted drum breaks, heavy sub-bass, moody electric guitar, filtered rhodes piano","no fast electronic house dance beats, no aggressive shouting metal growls, no cheerful major scale acoustic piano, no old-school fast boom bap drums, no country folk banjo",The Sound of alternative rock - 호텔 라운지
banda,Traditional Brazilian Bossa Nova (보사노바),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"banda, 80-90 bpm, syncopated nylon guitar strumming, smooth acoustic upright bass, soft brushing snare, organic percussion, warm acoustic grand piano","no digital electronic drum machines, no heavy high-gain metal guitar distortion, no sharp synthesizer leads, no aggressive shouting rap, no modern trap 808 sub-bass",The Sound of banda - 호텔 라운지
post-grunge,Grunge / 1990s Seattle Sound (그란지 록),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"post-grunge, 80-120 bpm, heavy mud-distorted electric guitars, gritty rhythmic bass, unpolished aggressive acoustic drums, loose garage amplifiers feedback","no digital electronic drum machines, no modern commercial pop autotune, no rapid modern trap triplet hi-hat rolls, no progressive metal clear technical speed solos, no bright major scale pop piano",The Sound of post-grunge - 감성 브이로그
corridos tumbados,Acid House / Second Summer of Love (애시드 하우스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"corridos tumbados, 118-126 bpm, squelching roland tb-303, roland tr-808/909 drum machine, hypnotic shakers, raw analog hardware stabs, minimalist synths","no modern commercial pop vocal belting, no bright major scale piano chord progressions, no heavy metal guitar distortion solos, no dynamic trap hi-hat rolls, no polished digital edm supersaw leads",The Sound of corridos tumbados - 호텔 라운지
sertanejo universitario,Stoner Rock / Doom Metal (스토너 록 / 둠 메탈),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"sertanejo universitario, 60-85 bpm, fuzzy down-tuned guitars, heavy vintage bass, slow massive drum beats, vintage analog amplifiers, psychedelic organ","no rapid double-bass blast beats, no fast neon electronic synths, no crystal clear modern pop autotune, no bright major scale acoustic guitar, no hiphop trap hihats",The Sound of sertanejo universitario - 호텔 라운지
country,Country Pop (컨트리 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"country, 75-110 bpm, pedal steel guitar, acoustic guitar strumming, banjo, clean electric guitar, modern acoustic drums, organic bass guitar","no heavy synthetic bass, no autotune mumble effects, no aggressive dubstep drops, no dark industrial industrial techno, no distorted metal guitars",The Sound of country - 호텔 라운지
atl hip hop,Lo-Fi Hip Hop / Chillhop Bedroom Beats (로파이 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"atl hip hop, 70-85 bpm, dusty vinyl drum breaks, jazzy acoustic piano chords, warm muted electric bass, vintage cassette tape hiss, continuous vinyl crackle noise, cozy guitar p...","no fast electronic dance beats, no aggressive shouting rap flows, no rapid triplet trap hi-hat rolls, no heavy metal high-gain guitar distortion, no sharp commercial high-definition vocal belting",The Sound of atl hip hop - 호텔 라운지
urban contemporary,1990s Eurodance / Club Dance Pop (유로댄스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"urban contemporary, 130-140 bpm, dynamic 4/4 club kick, bright synthesizer piano stabs, energetic bassline arpeggios, sharp hi-hats, vocal synthesizer layers","no slow depressing acoustic folk, no digital trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides, no heavy metal high-gain guitar distortion, no dark industrial techno drones",The Sound of urban contemporary - 호텔 라운지
sertanejo,Psytrance / Psychedelic Trance (사이케델릭 트랜스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"sertanejo, 138-145 bpm, rolling triplet bassline, acid squelch filters, psychedelic laser fx, hypnotic alien soundscapes, punchy trance kick","no traditional radio pop chord progressions, no slow lo-fi hiphop beats, no generic happy house club kicks, no heavy metal high-gain distortion guitars, no smooth clean pop vocal harmonies",The Sound of sertanejo - 호텔 라운지
southern hip hop,Joseon Hiphop / Korean Traditional Fusion Trap (조선힙합 / 국악 퓨전 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"southern hip hop, 80-130 bpm, piercing taepyeongso blares, sharp gayageum plucks, weeping haegeum textures, heavy sliding 808 bass, organic janggu/buk percussion kits","no cheerful major scale pop melodies, no digital electronic EDM supersaw leads, no smooth unpitched commercial r&b vocal harmonies, no western country folk banjo, no fast techno house club kicks",The Sound of southern hip hop - 호텔 라운지
singer-songwriter,Industrial Techno / Hard Warehouse Techno (인더스트리얼 테크노),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"singer-songwriter, 135-145 bpm, heavily distorted warehouse kick, metallic percussion clangs, distorted synth loops, screeching feedback drones, raw noise static","no bright major scale pop melodies, no sweet autotuned pop singing, no smooth r&b backing harmonies, no traditional country folk acoustic guitars, no slow hiphop trap drum loops",The Sound of singer-songwriter - 호텔 라운지
reggaeton colombiano,Traditional Roots Reggae (정통 레게),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"reggaeton colombiano, 70-85 bpm, off-beat guitar skank, heavy bubbling bassline, one-drop drum beat, vintage hammond organ bubbles, clean brass section, rasta percussion","no fast modern electronic dance beats, no aggressive shouting metal growls, no rapid trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides, no high-definition pop autotune vocal belting",The Sound of reggaeton colombiano - 호텔 라운지
arrocha,Garage Rock / Indie Rock Revival (개러지 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"arrocha, 120-140 bpm, raw overdriven electric guitars, crunchy rhythmic bass, unpolished acoustic drums, snappy tambourine accents","no modern electronic trap drum loops, no digital autotune voice shifting, no smooth commercial pop harmonies, no progressive metal technical sweeping solos, no massive edm festival drops",The Sound of arrocha - 호텔 라운지
french hip hop,French House / Filter House (프렌치 하우스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"french hip hop, 120-130 bpm, filtered disco loop, heavy sidechain compression, funky electric bass, punchy 4/4 house kick, phaser guitar riffs, vintage rhodes","no modern aggressive dubstep growls, no rapid trap hi-hat rolls, no sliding heavy 808 sub-bass, no raw acoustic country folk guitar, no slow depressing ballads",The Sound of french hip hop - 호텔 라운지
colombian pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"colombian pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of colombian pop - 호텔 라운지
alt z,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"alt z, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of alt z - 호텔 라운지
country road,Country Pop (컨트리 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"country road, 75-110 bpm, pedal steel guitar, acoustic guitar strumming, banjo, clean electric guitar, modern acoustic drums, organic bass guitar","no heavy synthetic bass, no autotune mumble effects, no aggressive dubstep drops, no dark industrial industrial techno, no distorted metal guitars",The Sound of country road - 호텔 라운지
mexican pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"mexican pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of mexican pop - 호텔 라운지
canadian hip hop,Lo-Fi Hip Hop / Chillhop Bedroom Beats (로파이 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"canadian hip hop, 70-85 bpm, dusty vinyl drum breaks, jazzy acoustic piano chords, warm muted electric bass, vintage cassette tape hiss, continuous vinyl crackle noise, cozy gui...","no fast electronic dance beats, no aggressive shouting rap flows, no rapid triplet trap hi-hat rolls, no heavy metal high-gain guitar distortion, no sharp commercial high-definition vocal belting",The Sound of canadian hip hop - 호텔 라운지
j-pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"j-pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of j-pop - 호텔 라운지
indonesian pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"indonesian pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of indonesian pop - 호텔 라운지
singer-songwriter pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"singer-songwriter pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of singer-songwriter pop - 호텔 라운지
ranchera,Rage Rap (레이지 랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"ranchera, 130-150 bpm, piercing synthetic lead, hyperpop arpeggio, distorted 808 sub-bass, punchy trap drums, digital sound effects","no acoustic grand piano, no vintage vinyl crackle, no traditional jazz boom bap, no slow acoustic folk guitar, no smooth unpitched r&b singing",The Sound of ranchera - 호텔 라운지
new wave pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"new wave pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of new wave pop - 호텔 라운지
indietronica,IDM (Intelligent Dance Music / 인텔리전트 댄스 뮤직),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"indietronica, 90-140 bpm, complex glitchy sequencing, modular synthesizer textures, unpredictable drum micro-beats, ambient computer pads, detuned synthesis","no standard straight 4/4 club house kicks, no basic commercial pop chord progressions, no live acoustic instruments, no clean pop singing, no aggressive heavy trap 808 bass",The Sound of indietronica - 호텔 라운지
german hip hop,Joseon Hiphop / Korean Traditional Fusion Trap (조선힙합 / 국악 퓨전 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"german hip hop, 80-130 bpm, piercing taepyeongso blares, sharp gayageum plucks, weeping haegeum textures, heavy sliding 808 bass, organic janggu/buk percussion kits","no cheerful major scale pop melodies, no digital electronic EDM supersaw leads, no smooth unpitched commercial r&b vocal harmonies, no western country folk banjo, no fast techno house club kicks",The Sound of german hip hop - 호텔 라운지
pop urbaine,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"pop urbaine, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of pop urbaine - 호텔 라운지
rock en espanol,J-Rock Anisong / Anime Opening Style (제이록 애니송),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"rock en espanol, 160-180 bpm, fast electric guitar solos, driving bass guitar, rapid acoustic drums, dramatic orchestral strings, bright synthesizer arpeggios","no slow acoustic rhythm, no autotune mumble rap, no electronic trap drum loops, no dark industrial techno drones, no lo-fi bedroom cassette hiss",The Sound of rock en espanol - 호텔 라운지
latin alternative,Alternative R&B / PBR&B (얼터너티브 알앤비),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"latin alternative, 70-90 bpm, atmospheric ambient synths, distorted drum breaks, heavy sub-bass, moody electric guitar, filtered rhodes piano","no fast electronic house dance beats, no aggressive shouting metal growls, no cheerful major scale acoustic piano, no old-school fast boom bap drums, no country folk banjo",The Sound of latin alternative - 호텔 라운지
gangster rap,Modern Atlanta Trap / Dark Trap (트랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"gangster rap, 130-150 bpm, rapid triplet hi-hats, heavy sliding 808 sub-bass, dark minimal piano loops, brass hits, snappy snare cuts","no old-school organic fast boom bap drums, no jazz fusion acoustic instrumentation, no heavy metal high-gain distortion guitars, no cheerful major scale pop melodies, no soft country folk banjo",The Sound of gangster rap - 호텔 라운지
